ID;Код СМО в едином реестре ОМС;ОГРН;КПП;Полное наименование СМО;Краткое наименование СМО;Фактический адрес, заданный в строку;Фамилия руководителя;Имя руководителя;Отчество руководителя;Телефон (с кодом города);Факс (с кодом города);Телефон «горячей линии» СМО;Адрес электронной почты;Номер лицензии СМО;Дата выдачи лицензии СМО;Дата окончания действия лицензии СМО;Дата включения в реестр СМО;Дата исключения из реестра СМО
122;47036;1177746612581;772301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ (САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ);ООО ВТБ МС (САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ);Г. САНКТ-ПЕТЕРБУРГ, УЛ. ЛАХТИНСКАЯ, Д.16, ЛИТ. А;ЯГОДИНА;ОЛЕСЯ;НИКОЛАЕВНА;8-812-4492587;8-812-4492587;8-800-1008005;SPETERBURG-MS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;25.08.2014;26.03.2020
123;47042;1027739008440;770801001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД"" ( САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД"")";"АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД"" (САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ АО""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД"")";Г.САНКТ-ПЕТЕРБУРГ, УЛ.ЛАХТИНСКАЯ , Д.16, ЛИТ А, ПОМ.6-Н;ЯГОДИНА;ОЛЕСЯ;НИКОЛАЕВНА;8-812-3247986;8-812-3247986;8-800-1000702;YAGODINAON@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2011;
124;47043;1027806865481;781343001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" (ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В Г. САНКТ-ПЕТЕРБУРГЕ И ЛЕНИНГРАДСКОЙ ОБЛАСТИ)";"ООО ""КАПИТАЛ МС"" (ФИЛИАЛ ООО ""КАПИТАЛ МС"" В Г.САНКТ-ПЕТЕРБУРГЕ И ЛЕНИНГРАДСКОЙ ОБЛАСТИ)";Г.САНКТ-ПЕТЕРБУРГ, МАЛЫЙ ПР. ПС, Д.7;УСАЧЕВСКАЯ;ИРИНА;ВИТАСОВНА;8-812-3256774;8-812-3209677;8-800-5506774;SMK-INFO@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;01.01.2011;
125;47045;1025004642519;503501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД"" ( СЕВЕРО-ЗАПАДНЫЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД"")";"ООО ""СМК РЕСО-МЕД"" ( СЕВЕРО-ЗАПАДНЫЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД"")";Г.САНКТ-ПЕТЕРБУРГ, УЛ. ГАККЕЛЕВСКАЯ, Д. 21, К. А;МИХАЙЛОВ;ФЁДОР;ВИКТОРОВИЧ;8-812-2002119;8-812-2002117;8-800-2009204;SZ@RESO-MED.COM;ОС №0879-01;29.08.2019;31.12.2099;01.01.2011;
126;48004;1027806865481;482543002;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ЛИПЕЦКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ЛИПЕЦКОЙ ОБЛАСТИ";Г. ЛИПЕЦК, УЛ.СОВЕТСКАЯ, Д.66;ЧЕРНЫШОВ;АЛЕКСАНДР;ИВАНОВИЧ;8-4742-224010;8-4742-224010;8-800-1008102;OMS.LIPETSK@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;19.08.2011;
127;48008;1027739008440;482443001;"ЛИПЕЦКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ЛИПЕЦКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ЛИПЕЦКАЯ ОБЛАСТЬ, Г.ЛИПЕЦК, ПРОСПЕКТ ПОБЕДЫ, Д.29;ТОЛСТОВ;ДМИТРИЙ;ВАЛЕРЬЕВИЧ;8-495-2252310;8-495-2252311;8-800-1000702;TOE@SOGAZ-MED.RU;ОС №3230-01;28.02.2019;31.12.2099;19.06.2018;
128;48010;1177746612581;482443001;ЛИПЕЦКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ЛИПЕЦКИЙ ФИЛИАЛ ООО ВТБ МС;ЛИПЕЦКАЯ ОБЛАСТЬ, ГОРОД ЛИПЕЦК, ПРОСПЕКТ ПОБЕДЫ, ДОМ 29;ИСТОМИН;АЛЕКСАНДР;НИКОЛАЕВИЧ;8-4742-909019;8-4742-221851;8-800-1008005;LIPECK@VTBMS.RU;ОС №2890-01;14.09.2017;31.12.2099;18.05.2017;26.03.2020
129;49003;1021401046787;490943002;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""САХАМЕДСТРАХ"" В ГОРОДЕ МАГАДАНЕ МАГАДАНСКОЙ ОБЛАСТИ";"ФИЛИАЛ АО ""СМК ""САХАМЕДСТРАХ"" В Г.МАГАДАНЕ";МАГАДАНСКАЯ ОБЛАСТЬ, Г. МАГАДАН, УЛ. ЛЕНИНА, Д. 22/2;ДАНИЛОВА;НАТАЛЬЯ;ЭДУАРДОВНА;8-4132-609799;8-4112-444499;8-800-1001403;MAGADANSMS@MAIL.RU;ОС № 2873-01;09.11.2016;31.12.2099;08.04.2011;
130;49005;1027739008440;490943001;"МАГАДАНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"МАГАДАНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РОССИЙСКАЯ ФЕДЕРАЦИЯ, Г.МАГАДАН, УЛ.ЯКУТСКАЯ, Д. 10;СУХАРЕВА;ОЛЬГА;МИГДАТОВНА;8-4132-638018;8-4132-638018;8-800-1000702;MAGADAN@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;30.08.2012;
131;50005;1025004642519;503501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"ООО ""СМК РЕСО-МЕД''";МОСКОВСКАЯ ОБЛАСТЬ, Г.ПАВЛОВСКИЙ ПОСАД, УЛ. УРИЦКОГО, Д. 26;ДЁМИН;ЮРИЙ;ФЁДОРОВИЧ;8-4993-727915;8-4993-727916;8-800-2341802;OFFICE@RESO-MED.COM;ОС № 0879-01;29.08.2019;31.12.2099;25.05.2011;
132;50006;1027739099772;770501001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ""";"АО ""МАКС-М""";Г. МОСКВА, УЛ. МАЛАЯ ОРДЫНКА, ДОМ 50;МАРТЬЯНОВА;НАДЕЖДА;ВАСИЛЬЕВНА;8-495-2760010;8-495-9511901;8-800-3336003;KULIKOVA@MAKC.RU;ОС № 2226-01;23.01.2017;31.12.2079;08.08.2011;
133;50012;1047744005022;770801001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ ""МЕДСТРАХ""";"ООО ""МСК ""МЕДСТРАХ""";Г. МОСКВА, УЛ. ВЕРХНЯЯ КРАСНОСЕЛЬСКАЯ, Д. 20, СТР. 1;МЕДВЕДЕВ;ВАЛЕРИЙ;ИВАНОВИЧ;8-495-7772323;8-495-7772323;8-800-7752636;MEDVEDEV@MEDSTRAKH.RU;ОС № 0484-01;05.03.2018;31.12.2079;01.01.2011;
134;50028;1177746612581;772301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ООО ВТБ МС;Г. МОСКВА, ОЗЕРКОВСКАЯ НАБЕРЕЖНАЯ, Д. 30;ГЕРГЕСОВ;ИЛЬЯ;МИХАЙЛОВИЧ;8-495-6444404;8-495-6444404;8-800-1008005;VTBMS@VTBMS.RU;ОС №2890-01;14.09.2017;31.12.2099;27.05.2011;26.03.2020
135;50046;1027739008440;770801001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г. МОСКВА, ПЕРЕУЛОК УЛАНСКИЙ, ДОМ 26, ПОМЕЩЕНИЕ 3.01;ТОЛСТОВ;ДМИТРИЙ;ВАЛЕРЬЕВИЧ;8-495-2252310;8-495-2252311;8-800-1000702;TOE@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;08.08.2011;
136;50051;1027806865481;770501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ""";"ООО ""КАПИТАЛ МС""";Г. МОСКВА, УЛ. БОЛЬШАЯ ТАТАРСКАЯ, Д.13,СТР.19;ВОРОНЬЖЕВА;ИРИНА;ИВАНОВНА;8-495-2878125;8-495-2878126;8-800-1008102;OMS@KAPMED,RU;ОС № 3676-01;16.11.2018;31.12.2099;06.08.2013;
137;51014;1027739008440;519043001;"МУРМАНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"МУРМАНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г.МУРМАНСК, УЛ. ПУШКИНСКАЯ, Д. 14;ЧЕРНЯКОВА;ИРИНА;ВИКТОРОВНА;8-8152-568001;8-8152-568001;8-800-1000702;CHERNIAKOVA.IRINA@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2011;
138;51018;1047100775963;519043001;"МУРМАНСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРАХОВАНИЕ-ОМС""";"МУРМАНСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";МУРМАНСКАЯ ОБЛ., Г.МУРМАНСК, УЛ. СОФЬИ ПЕРОВСКОЙ, Д. 25/26;ГОНЧАРОВ;ЭДУАРД;НИКОЛАЕВИЧ;8-8152-456214;8-8152-456234;8-800-5551001;MURMANSK-OMS@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;01.01.2014;
139;52001;1045207042528;526043001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г. НИЖНИЙ НОВГОРОД";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г. НИЖНИЙ НОВГОРОД";НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г. НИЖНИЙ НОВГОРОД, УЛ. НОВАЯ, Д.34 Б;РЫЖОВ;АЛЕКСЕЙ;ВЛАДИМИРОВИЧ;8-831-4224454;8-831-4224454;8-800-1007755;RYZHOV.ALEKSEI@INGOS.RU, SVETLANA.HOMOVA@INGOS.RU;ОС № 3837 - 01;09.09.2019;01.01.2099;01.01.2011;
140;52004;1177746612581;526043001;НИЖЕГОРОДСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;НИЖЕГОРОДСКИЙ ФИЛИАЛ ООО ВТБ МС;НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г.НИЖНИЙ НОВГОРОД, УЛ.СЛАВЯНСКАЯ, Д.8;ЕМЕЛИНА;ВЕРА;АЛЕКСАНДРОВНА;8-831-2022535;8-831-2022535;8-800-1008005;NNOVGOROD-MS@VTBMS.RU;ОС № 2890-01;14.09.2017;01.01.2099;01.01.2011;26.03.2020
141;52005;1025004642519;526043001;"НИЖЕГОРОДСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"НИЖЕГОРОДСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г. НИЖНИЙ НОВГОРОД, УЛ. ОШАРСКАЯ, Д. 18/1;КУЛАКОВА;ИРИНА;МИХАЙЛОВНА;8-831-4111428;8-831-4111429;8-800-2009204;RESOMEDNN@GMAIL.COM;ОС № 0879 - 01;29.08.2019;01.01.2099;01.01.2011;
142;52006;1027739008440;526043001;"НИЖЕГОРОДСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"НИЖЕГОРОДСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ОБЛАСТЬ НИЖЕГОРОДСКАЯ, ГОРОД НИЖНИЙ НОВГОРОД, УЛИЦА СЛАВЯНСКАЯ, ДОМ 8;ЕМЕЛИНА;ВЕРА;АЛЕКСАНДРОВНА;8-831-2022535;8-831-2022535;8-800-1000702;EMELINA.VERA@SOGAZ-MED.RU;ОС № 3230 - 01;28.02.2019;01.01.2099;13.06.2018;
143;52008;1027806865481;526043001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В НИЖЕГОРОДСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В НИЖЕГОРОДСКОЙ ОБЛАСТИ";Р.Ф., НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г. НИЖНИЙ НОВГОРОД, УЛ. БЕЛИНСКОГО, Д. 32;ПЛАТОНОВА;ТАТЬЯНА;ВЛАДИМИРОВНА;8-831-4395272;8-831-4394835;8-800-1008102;OMS@KAPMED.RU, OMS.N-NOVGOROD@KAPMED.RU;ОС № 3676-01;16.11.2018;01.01.2099;18.08.2015;
144;53002;1177746612581;532143001;НОВГОРОДСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;НОВГОРОДСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;НОВГОРОДСКАЯ ОБЛАСТЬ,ВЕЛИКИЙ НОВГОРОД,УЛИЦА БОЛЬШАЯ САНКТ-ПЕТЕРБУРГСКАЯ,ДОМ 39;ЗАХАРОВ;АНДРЕЙ;ВЛАДИМИРОВИЧ;8-8162-680088;8-8162-680088;8-800-1008005;VNOVGOROD-MS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;29.06.2012;26.03.2020
145;53007;1047100775963;532143001;"НОВГОРОДСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ - ОМС""";"НОВГОРОДСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";НОВГОРОДСКАЯ ОБЛ., Г. ВЕЛИКИЙ НОВГОРОД, УЛ. РОГАТИЦА, Д. 14 А;АНТОНОВ;АЛЕКСАНДР;АЛЬБЕРТОВИЧ;8-8162-944242;8-8162-944242;8-800-5551001;ANTONOVAA@ALFASTRAH.RU;ОС № 0193 - 01;03.08.2017;31.12.2099;01.01.2014;
146;53009;1027739008440;532143001;"НОВГОРОДСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"НОВГОРОДСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";НОВГОРОДСКАЯ ОБЛАСТЬ,ВЕЛИКИЙ НОВГОРОД,УЛИЦА БОЛЬШАЯ САНКТ-ПЕТЕРБУРГСКАЯ,ДОМ 39;ЗАХАРОВ;АНДРЕЙ;ВЛАДИМИРОВИЧ;8-8162-680088;8-8162-680088;8-800-1000702;ZAKHAROV.ANDREI.V@SOGAZ-MED.RU;ОС № 3230 - 01;28.02.2019;31.12.2099;26.03.2020;
147;54001;1025403200151;540701001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ ОРГАНИЗАЦИЯ ""СИМАЗ-МЕД""";"ООО ""СМО ""СИМАЗ-МЕД""";Г. НОВОСИБИРСК, УЛ. ОКТЯБРЬСКАЯ, 34;ВТОРУШИН;ЕВГЕНИЙ;СТАНИСЛАВОВИЧ;8-383-3479152;8-383-3479152;8-800-2221515;SIV@SIMAZ-MED.RU;ОС №2444-01;19.08.2015;31.12.2099;01.01.2011;
148;54002;1177746612581;540743001;НОВОСИБИРСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;НОВОСИБИРСКИЙ ФИЛИАЛ ООО ВТБ МС;Г. НОВОСИБИРСК, ПРОСПЕКТ ДИМИТРОВА, Д. 1;ИСАКОВ;СЕРГЕЙ;АРТУРОВИЧ;8-383-2175550;8-383-2223645;8-800-2221515;NOVOSIBIRSK-MS@VTBMS.RU;ОС №2890-01;14.09.2017;31.12.2099;01.01.2011;26.03.2020
149;54004;1045207042528;540643001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г. НОВОСИБИРСК";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г. НОВОСИБИРСК";Г. НОВОСИБИРСК, КРАСНЫЙ ПРОСПЕКТ, Д.11/2;КОСТИН;ВЛАДИМИР;АЛЕКСАНДРОВИЧ;8-383-2223501;8-383-2223501;8-800-2221515;VLADIMIR.KOSTIN@INGOS.RU;ОС №3837-01;09.09.2019;31.12.2099;01.01.2011;
150;54009;1027739008440;770801001;"НОВОСИБИРСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"НОВОСИБИРСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";НОВОСИБИРСКАЯ ОБЛАСТЬ,Г.НОВОСИБИРСК, ПР.ДИМИТРОВА,Д.1;ТОЛСТОВ;ДМИТРИЙ;ВАЛЕРЬЕВИЧ;8-495-2252310;8-495-2252310;8-800-1000702;TOE@SOGAZ-MED.RU;ОС№3230-01;28.02.2019;31.12.2099;10.07.2019;
151;55041;1027806865481;550443001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ОМСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ОМСКОЙ ОБЛАСТИ";Г. ОМСК, УЛ. ПУШКИНА, Д. 67;САЛЬНИКОВА;ЕЛЕНА;ГЕННАДЬЕВНА;8-3812-215908;8-3812-215908;8-800-5508102;OMSK@KAPMED.RU, ELENA.SALNIKOVA@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;08.08.2011;
152;55044;1027739008440;550343001;"ОМСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ОМСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г. ОМСК, УЛИЦА КОММУНИСТИЧЕСКАЯ, Д. 20;ТИВАНОВ;МИХАИЛ;ГЕОРГИЕВИЧ;8-3812-297756;8-3812-297756;8-800-1000702;OMSK@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;14.06.2018;
153;55046;1177746612581;550343001;ОМСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ОМСКИЙ ФИЛИАЛ ООО ВТБ МС;Г. ОМСК, УЛ. КОММУНИСТИЧЕСКАЯ, Д. 20;ТИВАНОВ;МИХАИЛ;ГЕОРГИЕВИЧ;8-3812-297756;8-3812-297756;8-800-1008005;OMSK-MS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;16.06.2011;26.03.2020
154;55050;1047100775963;550443001;"ОМСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";"ОМСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";Г. ОМСК, БУЛЬВАР ПОБЕДЫ, Д. 7;КОМАРОВ;АЛЕКСАНДР;АЛЕКСАНДРОВИЧ;8-3812-531672;8-3812-531672;8-800-5551001;KOMAROVAA@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;08.07.2016;
155;56021;1027739008440;561202001;"ОРЕНБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ОРЕНБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ОРЕНБУРГСКАЯ ОБЛ., ОРЕНБУРГ Г, ТУРКЕСТАНСКАЯ УЛ, 14;МАЛАЯ;ТАТЬЯНА;ВИКТОРОВНА;8-3532-440600;8-3532-440609;8-800-1000702;ORENBURG@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2011;
156;56025;1177746612581;561043001;ОРЕНБУРГСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ОРЕНБУРГСКИЙ ФИЛИАЛ ООО ВТБ МС;ОРЕНБУРГСКАЯ ОБЛ., ОРЕНБУРГ Г, ВОЛОДАРСКОГО УЛ, Д.39;МАЛАЯ;ТАТЬЯНА;ВИКТОРОВНА;8-3532-440600;8-3532-440609;8-800-1008005;MALAYA.TATYANA@SOGAZ-MED.RU, ORENBURG-MS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;01.01.2011;26.03.2020
157;56029;1045207042528;561243002;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г. ОРЕНБУРГ";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г.ОРЕНБУРГ";ОРЕНБУРГСКАЯ ОБЛ., ОРЕНБУРГ Г, ТЕРЕШКОВОЙ УЛ, Д. 10/ 2, ОФИС 5;ВАРЛАМОВ;ОЛЕГ;АНАТОЛЬЕВИЧ;8-3532-448901;8-3532-448901;8-800-6002427;OLEG.VARLAMOV@INGOS.RU;ОС № 3837-01;09.09.2019;31.12.2099;01.01.2011;
158;56032;1027739099772;561043001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ ОРЕНБУРГЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. ОРЕНБУРГЕ";ОРЕНБУРГСКАЯ ОБЛ., ОРЕНБУРГ Г, МАРШАЛА ЖУКОВА УЛ, Д. 3;ДЕНИСОВА;ЕЛЕНА;НИКОЛАЕВНА;8-3532-323011;8-3534-221827;8-800-3338803;DENISOVAEN@MAKCM.RU;ОС № 2226-01;23.01.2017;31.12.2099;01.01.2011;
159;56034;1027806865481;560902002;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ОРЕНБУРГСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ОРЕНБУРГСКОЙ ОБЛАСТИ";РФ, Г. ОРЕНБУРГ, ПОЧТОВЫЙ ПЕР.,Д. 4;НОВИЦКАЯ;ОЛЬГА;СЕРГЕЕВНА;8-3532-660188;8-3532-664788;8-800-2221126;OMS.ORENBURG@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;14.08.2015;
160;57002;1027739008440;575343001;"ОРЛОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ОРЛОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ОРЛОВСКАЯ ОБЛАСТЬ, Г. ОРЕЛ, УЛ. ТУРГЕНЕВА, Д. 23, ОФИС 5А;НИКИТЧЕНКО;ЮЛИЯ;ВАЛЕРЬЕВНА;8-4862-762642;8-0000-000000;8-800-1000702;OREL@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;04.08.2011;
